| Song: Looping the Rooms - rusino | 
| CHARTING STYLE: targetBeat, noteType|
| targetBeat: a float denoting the beat where note noteType will arrive at the hit point. Using regular musical notation: 1 = quarter note, 2 = half note, 0.5 = eighth note, 0.25 sixtheenth, etc | 
| noteType: An enum that determines the type of note to be spawned. View SongObject.cs to see available note types. |
4, Note
5, GhostNote
5.5, GhostNote
6, Note
7, Note
8, Note
9, GhostNote
10, StealthNote
11, GhostNote

12, Note
13, GhostNote
13.5, GhostNote
14, Note
15, Note
16, Note
17, GhostNote

18, StealthNote
18.5, StealthNote
19, StealthNote
19.5, StealthNote

20, Note
21, GhostNote
21.5, GhostNote
22, Note
23, Note
24, Note
25, GhostNote
26, StealthNote
27, GhostNote

28, Note
29, GhostNote
29.5, GhostNote
30, Note
31, Note
32, Note
33, Note
34, StealthNote

| SECTION 2

36, GhostNote

37.5, Note
38, Note
38.5, Note
39, Note
39.5, Note
40, Note
41, Note

41.5, GhostNote
42, GhostNote
42.5, GhostNote
43, GhostNote
43.5, GhostNote
44, GhostNote
45, GhostNote

45.5, Note
46, Note
46.5, Note
47, Note
47.5, Note
48, Note
49, Note

49.5, GhostNote
50, GhostNote
50.5, GhostNote
51, GhostNote
51.5, GhostNote
52, GhostNote

| 53, GhostNote

53.5, Note
54, Note
54.5, Note
55, Note
55.5, Note
56, Note

57, Note

57.5, GhostNote
58, GhostNote
58.5, GhostNote
59, GhostNote
59.5, GhostNote
60, GhostNote

61, GhostNote

61.5, Note
62, Note
62.5, Note
63, Note
63.5, Note
64, Note
65, Note 
66, Note

| SECTION 3

68, GhostNote
70, TriangleNote
72, TriangleNote
74, TriangleNote
76, TriangleNote
78, TriangleNote
80, TriangleNote
82, TriangleNote
84, GhostNote
86, TriangleNote
88, GhostNote
90, TriangleNote
92, GhostNote
94, TriangleNote

| SECTION 4

100, Note
100.5, GhostNote
101, Note
101.5, GhostNote
102, Note
102.5, GhostNote
103, Note
103.5, GhostNote
104, Note
104.5, GhostNote
105, Note
105.5, GhostNote
106, Note

107, GhostNote
107.5, GhostNote
108, GhostNote
108.5, GhostNote
109, GhostNote


110, StealthNote
110.5, StealthNote
111, StealthNote
111.5, StealthNote
112, StealthNote


